Node,Depth (m),Disp X (mm),Disp Y (mm),"Disp Z (mm, +up/-down)",Section Depth (m),Axial Force (kN),Shear X' (kN),Shear Y' (kN),Moment X' (kN*m),Moment Y' (kN*m)
174,11.67750000,0.00039892,-0.00000000,-0.70501204,11.67750000,508.69416796,-0.32311602,-0.00000000,0.00000000,-0.37786736
175,11.74500000,0.00041690,-0.00000000,-0.69552440,11.74500000,502.96976267,-0.31472605,-0.00000000,0.00000000,-0.35605703
176,11.81250000,0.00043144,-0.00000000,-0.68614353,11.81250000,497.29011004,-0.30592352,-0.00000000,0.00000000,-0.33481302
177,11.88000000,0.00044279,-0.00000000,-0.67686859,11.88000000,491.65521565,-0.29676631,-0.00000000,0.00000000,-0.31416318
178,11.94750000,0.00045120,-0.00000000,-0.66769874,11.94750000,486.06507704,-0.28730980,-0.00000000,0.00000000,-0.29413146
179,12.01500000,0.00045690,-0.00000000,-0.65863315,12.01500000,480.51968385,-0.27760688,-0.00000000,0.00000000,-0.27473805
180,12.08250000,0.00046011,-0.00000000,-0.64967100,12.08250000,475.01901799,-0.26770786,-0.00000000,0.00000000,-0.25599958
181,12.15000000,0.00046105,-0.00000000,-0.64081143,12.15000000,469.56305382,-0.25766045,-0.00000000,0.00000000,-0.23792930
182,12.21750000,0.00045993,-0.00000000,-0.63205362,12.21750000,464.15175827,-0.24750970,-0.00000000,0.00000000,-0.22053722
183,12.28500000,0.00045693,-0.00000000,-0.62339674,12.28500000,458.78509098,-0.23729807,-0.00000000,0.00000000,-0.20383032
184,12.35250000,0.00045225,-0.00000000,-0.61483996,12.35250000,453.46300450,-0.22706534,-0.00000000,0.00000000,-0.18781270
185,12.42000000,0.00044606,-0.00000000,-0.60638243,12.42000000,448.18544439,-0.21684869,-0.00000000,0.00000000,-0.17248579
186,12.48750000,0.00043853,-0.00000000,-0.59802334,12.48750000,442.95234943,-0.20668269,-0.00000000,0.00000000,-0.15784850
187,12.55500000,0.00042981,-0.00000000,-0.58976185,12.55500000,437.76365168,-0.19659935,-0.00000000,0.00000000,-0.14389742
188,12.62250000,0.00042005,-0.00000000,-0.58159713,12.62250000,432.61927671,-0.18662817,-0.00000000,0.00000000,-0.13062696
189,12.69000000,0.00040940,-0.00000000,-0.57352836,12.69000000,427.51914370,-0.17679617,-0.00000000,0.00000000,-0.11802956
190,12.75750000,0.00039797,-0.00000000,-0.56555471,12.75750000,422.46316557,-0.16712796,-0.00000000,0.00000000,-0.10609582
191,12.82500000,0.00038590,-0.00000000,-0.55767537,12.82500000,417.45124918,-0.15764581,-0.00000000,0.00000000,-0.09481468
192,12.89250000,0.00037329,-0.00000000,-0.54988950,12.89250000,412.48329541,-0.14836971,-0.00000000,0.00000000,-0.08417359
193,12.96000000,0.00036025,-0.00000000,-0.54219628,12.96000000,407.55919932,-0.13931746,-0.00000000,0.00000000,-0.07415863
194,13.02750000,0.00034688,-0.00000000,-0.53459491,13.02750000,402.67885030,-0.13050472,-0.00000000,0.00000000,-0.06475470
195,13.09500000,0.00033327,-0.00000000,-0.52708456,13.09500000,397.84213219,-0.12194514,-0.00000000,0.00000000,-0.05594564
196,13.16250000,0.00031950,-0.00000000,-0.51966442,13.16250000,393.04892342,-0.11365042,-0.00000000,0.00000000,-0.04771434
197,13.23000000,0.00030565,-0.00000000,-0.51233367,13.23000000,388.29909714,-0.10563039,-0.00000000,0.00000000,-0.04004294
198,13.29750000,0.00029178,-0.00000000,-0.50509152,13.29750000,383.59252136,-0.09789313,-0.00000000,0.00000000,-0.03291288
199,13.36500000,0.00027797,-0.00000000,-0.49793714,13.36500000,378.92905906,-0.09044503,-0.00000000,0.00000000,-0.02630510
